a,character,columns
181846,238452,182653
181847,238498,182653
181848,238584,182653
181849,238741,182653
181850,241144,182652
181851,241252,182652
181852,241360,182652
181853,241468,182652
181854,241576,182652
181855,241684,182652
181856,239840,182650
181857,239997,182650
181858,240154,182650
181859,240311,182650
181860,180104,182616
181861,180154,182616
181862,180204,182616
181863,180254,182616
181864,180304,182616
181865,245786,182627
181866,245796,182627
181867,245806,182627
181868,245816,182627
181869,245826,182627
181870,244561,182643
181871,244629,182652
181872,244688,182652
181873,244747,182652
181874,244806,182652
181875,244865,182652
181876,244924,182652
181877,244983,182652
181878,245042,182652
181879,245101,182652
181880,245160,182652
181881,245219,182652
181882,245278,182652
181883,245337,182652
181884,245396,182652
181885,245986,182663
181886,245996,182663
181887,246006,182663
181888,246016,182663
181889,246026,182663
181890,246036,182663
181891,246046,182663
181892,246056,182663
181893,246066,182663
181894,246076,182663
181895,246086,182663
181896,246120,182663
181897,246277,182663
181898,246434,182663
181899,246591,182663
181900,246748,182663
181901,246905,182663
181902,247062,182663
181903,247219,182663
181904,247376,182663
181905,247533,182663
181906,247690,182663
181907,247847,182663
181908,248004,182663
181909,248161,182663
181910,248318,182663
181911,248456,182644
181912,200176,182634
181913,200314,182634
181914,200452,182634
181915,200590,182634
181916,200728,182634
181917,200866,182634
181918,201004,182634
181919,201142,182634
181920,201280,182634
181921,201418,182634
181922,201556,182634
181923,201694,182634
181924,201832,182634
181925,201970,182634
181926,202108,182634
181927,202246,182634
181928,253760,182658
181929,253832,182658
181930,253904,182658
181931,253976,182658
181932,254048,182658
181933,254120,182658
181934,254192,182658
181935,254264,182658
181936,254336,182658
181937,254408,182658
181938,254480,182658
181939,254552,182658
181940,254624,182658
181941,254696,182658
181942,254768,182658
181943,254840,182658
181944,254912,182658
181945,254984,182658
181946,255056,182658
181947,255128,182658
181948,255200,182658
181949,255272,182658
181950,255344,182658
181951,255416,182658
181952,255488,182658
181953,255560,182658
181954,255632,182658
181955,255704,182658
181956,255776,182658
181957,255848,182658
181958,255920,182658
181959,256011,182658
181960,206800,182639
181961,206938,182639
181962,207076,182639
181963,207214,182639
181964,207352,182639
181965,207490,182639
181966,207628,182639
181967,207766,182639
181968,207904,182639
181969,208042,182639
181970,954,182635
181971,1039,182635
181972,1124,182635
181973,1209,182635
181974,1294,182635
181975,0,182635
181976,0,182635
181977,0,182635
181978,0,182635
181979,0,182635
181980,0,182635
181981,0,182635
181982,0,182635
181983,0,182635
181984,0,182635
181985,89,182635
181986,210,182635
181987,331,182635
181988,452,182635
181989,573,182635
181990,694,182635
181991,815,182635
181992,936,182635
181993,1057,182635
181994,1178,182635
181995,0,182635
181996,0,182635
181997,0,182635
181998,0,182635
181999,147,182635
182000,304,182635
182001,461,182635
182002,618,182635
182003,775,182635
182004,932,182635
182005,1089,182635
182006,1246,182635
182007,1403,182635
182008,1560,182635
182009,1717,182635
182010,1874,182635
182011,2031,182635
182012,2188,182635
182013,2340,182630
182014,6886,182630
182015,6899,182630
182016,6912,182630
182017,6925,182630
182018,6938,182630
182019,6951,182630
182020,6964,182630
182021,6977,182630
182022,6990,182630
182023,7003,182630
182024,7016,182630
182025,7029,182630
182026,7042,182630
182027,7055,182630
182028,7068,182630
182029,7081,182630
182030,7094,182630
182031,7107,182630
182032,7120,182630
182033,7133,182630
182034,7146,182630
182035,7159,182630
182036,7172,182630
182037,7185,182630
182038,7198,182630
182039,7211,182630
182040,7224,182630
182041,7237,182630
182042,7250,182630
182043,7263,182630
182044,7276,182630
182045,7369,182630
182046,7526,182630
182047,7683,182630
182048,7840,182630
182049,7997,182630
182050,8154,182630
182051,8311,182630
182052,8468,182630
182053,8625,182630
182054,8782,182630
182055,8939,182630
