v,count
1088,3598392
1089,3156678
1090,3881476
1091,2998882
1092,3853439
1093,3290104
1094,3688984
1095,3241078
1096,3959649
1097,3154422
1098,3932815
1099,3358610
1100,3832850
1101,3323812
1102,4103592
1103,3191960
1104,4057789
1105,3501504
1106,3901254
1107,3433900
1108,4196258
1109,3317286
1110,4184395
1111,3541100
1112,4054556
1113,3541354
1114,4318655
1115,3394186
1116,4275921
1117,3705674
1118,4140169
1119,3612626
1120,4466191
1121,3500976
1122,4415883
1123,3760114
1124,4262698
1125,3770174
1126,4547063
1127,3599514
1128,4536980
1129,3889974
1130,4397856
1131,3806382
1132,4718742
1133,3715682
1134,4653125
1135,3996732
1136,4486264
1137,3982690
1138,4816820
1139,3785348
1140,4812871
1141,4103740
1142,4647626
1143,4035682
1144,4955667
1145,3950804
1146,4894724
1147,4221340
1148,4760379
1149,4189744
1150,5101372
1151,3983404
1152,5081427
1153,4349380
1154,4879121
1155,4295726
1156,5215803
1157,4166370
1158,5181128
1159,4431912
1160,5049959
1161,4403452
1162,5392071
1163,4225270
1164,5327896
1165,4613022
1166,5130620
1167,4535046
1168,5513120
1169,4384566
1170,5494920
1171,4651182
1172,5324074
1173,4666726
1174,5653481
1175,4485390
1176,5609840
1177,4868914
1178,5418425
1179,4756314
1180,5838315
1181,4608208
1182,5787132
1183,4935746
1184,5585089
1185,4938548
1186,5936553
1187,4730296
1188,5933479
1189,5101554
1190,5750491
1191,4999508
1192,6138927
1193,4875054
1194,6068429
1195,5227714
1196,5865058
1197,5216978
1198,6270920
1199,4951304
1200,6271910
1201,5356810
1202,6055404
1203,5287474
1204,6441980
1205,5168326
1206,6360008
1207,5502886
1208,6194203
1209,5469464
1210,6626590
1211,5209168
1212,6603502
1213,5650250
1214,6341537
1215,5595832
1216,6759924
1217,5439148
1218,6722857
1219,5766092
1220,6540831
1221,5733580
1222,6969397
1223,5504186
1224,6913827
1225,5988760
1226,6649815
1227,5884344
1228,7122593
1229,5695720
1230,7101932
1231,6042870
1232,6890913
1233,6059674
1234,7280693
1235,5823678
1236,7244679
1237,6295342
1238,7011919
1239,6168040
1240,7523877
1241,5959408
1242,7463988
1243,6375782
1244,7207084
1245,6399928
1246,7641034
1247,6127154
1248,7626884
1249,6581932
1250,7400535
1251,6463668
1252,7895199
1253,6306186
1254,7805636
1255,6723588
1256,7545732
1257,6725166
1258,8044698
1259,6404486
1260,8059314
1261,6894228
1262,7760798
1263,6813434
1264,8252779
1265,6657618
1266,8170266
1267,7073012
1268,7950819
1269,7021164
1270,8473362
1271,6706730
1272,8455852
1273,7260096
1274,8122473
1275,7193406
1276,8622505
1277,6990232
1278,8595528
1279,7393152
1280,8377197
1281,7359088
1282,8891124
1283,7052630
1284,8829476
1285,7655014
1286,8497968
1287,7550248
1288,9080968
1289,7299972
1290,9043950
1291,7724110
1292,8787732
1293,7749216
1294,9275136
1295,7454376
1296,9233747
1297,8017742
1298,8932687
1299,7883978
1300,9557448
1301,7631230
1302,9491958
1303,8130428
1304,9155736
1305,8164948
1306,9690143
1307,7820122
1308,9701758
1309,8379292
1310,9406840
1311,8224194
1312,10008109
1313,8030292
1314,9901431
1315,8557358
1316,9582744
1317,8557498
1318,10165412
1319,8155908
1320,10205384
1321,8749834
1322,9846129
1323,8668272
1324,10436348
1325,8443438
1326,10337103
1327,8961888
1328,10061100
1329,8921846
1330,10699962
1331,8523762
1332,10669134
1333,9190166
1334,10262117
1335,9117562
1336,10889289
1337,8861378
1338,10852385
1339,9328484
1340,10573048
1341,9311890
1342,11193177
1343,8951370
1344,11136061
1345,9665386
1346,10696167
1347,9540598
1348,11417554
1349,9231288
1350,11396539
1351,9749728
1352,11065731
1353,9766832
1354,11648741
1355,9414146
1356,11611642
1357,10110906
1358,11233346
1359,9946462
1360,11968981
1361,9623388
1362,11913017
1363,10231376
1364,11518596
1365,10279792
1366,12145673
1367,9833496
